Scenario, perm_x_aq, perm_y_aq, perm_x_cap, perm_y_cap, depth, aq_thickness, injected_fluid_mass, injected_temp, inject_time, store_time, produce_time, rest_time, T_ambient, P_ambient, enthalpy_i, enthalpy_a, RE1, RE2, RE3, RE4, RE5
8hr_1000m_disp0m_0305,1.00E-12,2.00E-13,1.00E-16,1.00E-17,1000,10,1000000,90,0.3333,0.1667,0.3333,0.1667,40.1,9929472.85,384604.8204,176727.5838,0.863565681,0.900078181,0.916865738,0.926474797,0.932946121
8hr_1000m_disp0m_0306,1.00E-12,2.00E-13,1.00E-16,1.00E-17,1000,10,1000000,150,0.3333,0.1667,0.3333,0.1667,40.1,9929472.85,638139.2243,176727.5838,0.863531077,0.900336031,0.916970109,0.926825253,0.934174618
8hr_1000m_disp0m_0307,1.00E-12,2.00E-13,1.00E-16,1.00E-17,1000,10,1000000,200,0.3333,0.1667,0.3333,0.1667,40.1,9929472.85,855887.4256,176727.5838,0.860908803,0.899376637,0.915721859,0.926073819,0.932922795
8hr_1000m_disp0m_0308,1.00E-12,2.00E-13,1.00E-16,1.00E-17,1000,10,1000000,250,0.3333,0.1667,0.3333,0.1667,40.1,9929472.85,1085714.463,176727.5838,0.856446054,0.896790947,0.913284844,0.923191769,0.930812901
8hr_1000m_disp0m_0309,1.00E-12,2.00E-13,1.00E-16,1.00E-17,1000,10,1000000,300,0.3333,0.1667,0.3333,0.1667,40.1,9929472.85,1343177.295,176727.5838,0.847348452,0.888778949,0.906786119,0.917598866,0.924918222
8hr_1000m_disp0m_0310,1.00E-12,2.00E-13,1.00E-16,1.00E-17,1000,20,1000000,90,0.3333,0.1667,0.3333,0.1667,40.2,9978375.7,384642.7346,177186.1827,0.862275826,0.899829195,0.916506004,0.92656882,0.933613728
8hr_1000m_disp0m_0311,1.00E-12,2.00E-13,1.00E-16,1.00E-17,1000,20,1000000,150,0.3333,0.1667,0.3333,0.1667,40.2,9978375.7,638169.9601,177186.1827,0.861091608,0.899908076,0.916538911,0.92715364,0.934215799
8hr_1000m_disp0m_0312,1.00E-12,2.00E-13,1.00E-16,1.00E-17,1000,20,1000000,200,0.3333,0.1667,0.3333,0.1667,40.2,9978375.7,855908.54,177186.1827,0.859424176,0.898261542,0.91531416,0.926642546,0.933072252
8hr_1000m_disp0m_0313,1.00E-12,2.00E-13,1.00E-16,1.00E-17,1000,20,1000000,250,0.3333,0.1667,0.3333,0.1667,40.2,9978375.7,1085716.328,177186.1827,0.854779305,0.895475079,0.913202812,0.923705863,0.930720357
8hr_1000m_disp0m_0314,1.00E-12,2.00E-13,1.00E-16,1.00E-17,1000,20,1000000,300,0.3333,0.1667,0.3333,0.1667,40.2,9978375.7,1343121.316,177186.1827,0.8464988,0.889216546,0.907293166,0.91868569,0.92607211
8hr_1000m_disp0m_0315,1.00E-12,2.00E-13,1.00E-16,1.00E-17,1000,40,1000000,90,0.3333,0.1667,0.3333,0.1667,40.4,10076181.4,384718.564,178103.3142,0.849684976,0.890075631,0.908798609,0.920090012,0.92744262
8hr_1000m_disp0m_0316,1.00E-12,2.00E-13,1.00E-16,1.00E-17,1000,40,1000000,150,0.3333,0.1667,0.3333,0.1667,40.4,10076181.4,638231.44,178103.3142,0.848064018,0.889760449,0.908466041,0.9198012,0.927309433
8hr_1000m_disp0m_0317,1.00E-12,2.00E-13,1.00E-16,1.00E-17,1000,40,1000000,200,0.3333,0.1667,0.3333,0.1667,40.4,10076181.4,855950.7921,178103.3142,0.845649373,0.888552338,0.90716955,0.91883802,0.92630299
8hr_1000m_disp0m_0318,1.00E-12,2.00E-13,1.00E-16,1.00E-17,1000,40,1000000,250,0.3333,0.1667,0.3333,0.1667,40.4,10076181.4,1085720.132,178103.3142,0.842130498,0.884995286,0.904568909,0.916383529,0.924371173
8hr_1000m_disp0m_0319,1.00E-12,2.00E-13,1.00E-16,1.00E-17,1000,40,1000000,300,0.3333,0.1667,0.3333,0.1667,40.4,10076181.4,1343009.791,178103.3142,0.834559507,0.879442992,0.899615222,0.911868972,0.920213265
8hr_1000m_disp0m_0320,1.00E-12,2.00E-13,1.00E-16,1.00E-17,1000,60,1000000,90,0.3333,0.1667,0.3333,0.1667,40.6,10173987.1,384794.3948,179020.3578,0.835199351,0.87937131,0.899314444,0.911354186,0.919521141
8hr_1000m_disp0m_0321,1.00E-12,2.00E-13,1.00E-16,1.00E-17,1000,60,1000000,150,0.3333,0.1667,0.3333,0.1667,40.6,10173987.1,638292.9307,179020.3578,0.83383004,0.878622722,0.89869071,0.910777761,0.919115896
8hr_1000m_disp0m_0322,1.00E-12,2.00E-13,1.00E-16,1.00E-17,1000,60,1000000,200,0.3333,0.1667,0.3333,0.1667,40.6,10173987.1,855993.0755,179020.3578,0.83204931,0.877019476,0.897351726,0.909759578,0.918239666
8hr_1000m_disp0m_0323,1.00E-12,2.00E-13,1.00E-16,1.00E-17,1000,60,1000000,250,0.3333,0.1667,0.3333,0.1667,40.6,10173987.1,1085724.036,179020.3578,0.828326514,0.873827961,0.894933126,0.90770991,0.916339386
8hr_1000m_disp0m_0324,1.00E-12,2.00E-13,1.00E-16,1.00E-17,1000,60,1000000,300,0.3333,0.1667,0.3333,0.1667,40.6,10173987.1,1342898.838,179020.3578,0.821011876,0.867983558,0.889968625,0.903163546,0.912181976
8hr_1000m_disp0m_0351,1.00E-12,1.00E-13,1.00E-16,1.00E-17,1000,5,1000000,150,0.3333,0.1667,0.3333,0.1667,40.05,9905021.425,638123.8574,176498.2761,0.851458397,0.889552468,0.908204013,0.918599525,0.924277489
8hr_1000m_disp0m_0352,1.00E-12,1.00E-13,1.00E-16,1.00E-17,1000,5,1000000,200,0.3333,0.1667,0.3333,0.1667,40.05,9905021.425,855876.8714,176498.2761,0.847383632,0.889132407,0.906436553,0.915820264,0.923495786
8hr_1000m_disp0m_0353,1.00E-12,1.00E-13,1.00E-16,1.00E-17,1000,5,1000000,250,0.3333,0.1667,0.3333,0.1667,40.05,9905021.425,1085713.541,176498.2761,0.841678643,0.885129599,0.903205469,0.913603224,0.920667618
8hr_1000m_disp0m_0355,1.00E-12,1.00E-13,1.00E-16,1.00E-17,1000,10,1000000,90,0.3333,0.1667,0.3333,0.1667,40.1,9929472.85,384604.8204,176727.5838,0.863993108,0.90017198,0.916073509,0.926481299,0.933165617
8hr_1000m_disp0m_0356,1.00E-12,1.00E-13,1.00E-16,1.00E-17,1000,10,1000000,150,0.3333,0.1667,0.3333,0.1667,40.1,9929472.85,638139.2243,176727.5838,0.863237766,0.900565245,0.917245409,0.926764083,0.933529421
8hr_1000m_disp0m_0357,1.00E-12,1.00E-13,1.00E-16,1.00E-17,1000,10,1000000,200,0.3333,0.1667,0.3333,0.1667,40.1,9929472.85,855887.4256,176727.5838,0.861325953,0.899193377,0.91623735,0.926053514,0.932586448
8hr_1000m_disp0m_0358,1.00E-12,1.00E-13,1.00E-16,1.00E-17,1000,10,1000000,250,0.3333,0.1667,0.3333,0.1667,40.1,9929472.85,1085714.463,176727.5838,0.856750535,0.895993753,0.913192909,0.92345382,0.930748793
8hr_1000m_disp0m_0359,1.00E-12,1.00E-13,1.00E-16,1.00E-17,1000,10,1000000,300,0.3333,0.1667,0.3333,0.1667,40.1,9929472.85,1343177.295,176727.5838,0.84855976,0.890201361,0.907606134,0.918316079,0.92657836
8hr_1000m_disp0m_0360,1.00E-12,1.00E-13,1.00E-16,1.00E-17,1000,20,1000000,90,0.3333,0.1667,0.3333,0.1667,40.2,9978375.7,384642.7346,177186.1827,0.862318332,0.899839881,0.916671835,0.926508708,0.933379315
8hr_1000m_disp0m_0361,1.00E-12,1.00E-13,1.00E-16,1.00E-17,1000,20,1000000,150,0.3333,0.1667,0.3333,0.1667,40.2,9978375.7,638169.9601,177186.1827,0.861666429,0.899590795,0.916523035,0.927082818,0.934265709
8hr_1000m_disp0m_0362,1.00E-12,1.00E-13,1.00E-16,1.00E-17,1000,20,1000000,200,0.3333,0.1667,0.3333,0.1667,40.2,9978375.7,855908.54,177186.1827,0.859283382,0.898008267,0.915442268,0.926754074,0.932799468
8hr_1000m_disp0m_0363,1.00E-12,1.00E-13,1.00E-16,1.00E-17,1000,20,1000000,250,0.3333,0.1667,0.3333,0.1667,40.2,9978375.7,1085716.328,177186.1827,0.855162562,0.894799324,0.913215434,0.923961655,0.931366391
8hr_1000m_disp0m_0364,1.00E-12,1.00E-13,1.00E-16,1.00E-17,1000,20,1000000,300,0.3333,0.1667,0.3333,0.1667,40.2,9978375.7,1343121.316,177186.1827,0.847723459,0.888971321,0.908218481,0.918836722,0.92775366
8hr_1000m_disp0m_0365,1.00E-12,1.00E-13,1.00E-16,1.00E-17,1000,40,1000000,90,0.3333,0.1667,0.3333,0.1667,40.4,10076181.4,384718.564,178103.3142,0.849443803,0.89010754,0.909138013,0.920032799,0.927318183
8hr_1000m_disp0m_0366,1.00E-12,1.00E-13,1.00E-16,1.00E-17,1000,40,1000000,150,0.3333,0.1667,0.3333,0.1667,40.4,10076181.4,638231.44,178103.3142,0.848067781,0.889546233,0.908315235,0.919664698,0.927198413
