pressure, temperature, density, viscosity, enthalpy, internal_energy
604040,327.525,986.227,0.000508793,228130,227518
604040,330.808,984.618,0.000483164,241853,241239
604040,334.091,982.943,0.000459612,255580,254965
604040,337.374,981.206,0.000437918,269311,268696
604040,340.657,979.407,0.00041789,283048,282432
604040,343.939,977.548,0.00039936,296792,296174
604040,347.222,975.631,0.000382184,310542,309923
604040,350.505,973.658,0.000366232,324301,323680
604040,353.788,971.629,0.000351391,338067,337446
604040,357.071,969.546,0.00033756,351843,351220
604040,360.354,967.409,0.000324649,365630,365005
604040,363.636,965.221,0.000312579,379426,378800
604040,366.919,962.98,0.000301278,393234,392607
604040,370.202,960.69,0.000290682,407055,406426
604040,373.485,958.349,0.000280734,420888,420258
604040,376.768,955.959,0.000271383,434735,434104
604040,380.051,953.519,0.00026258,448597,447964
604040,383.333,951.032,0.000254285,462474,461839
604040,386.616,948.497,0.000246458,476367,475730
604040,389.899,945.913,0.000239065,490277,489638
604040,393.182,943.283,0.000232075,504205,503564
604040,396.465,940.605,0.000225457,518151,517509
604040,399.747,937.88,0.000219186,532117,531473
604040,403.03,935.107,0.000213238,546103,545457
604040,406.313,932.288,0.00020759,560111,559463
604040,409.596,929.421,0.000202222,574141,573492
604040,412.879,926.507,0.000197116,588195,587543
604040,416.162,923.545,0.000192253,602274,601620
604040,419.444,920.535,0.000187619,616378,615722
604040,422.727,917.477,0.000183198,630509,629850
604040,426.01,914.37,0.000178976,644668,644007
604040,429.293,911.214,0.000174943,658857,658194
604040,432.576,911.214,0.000174943,658857,658194
604040,435.859,911.214,0.000174943,658857,658194
604040,439.141,911.214,0.000174943,658857,658194
604040,442.424,911.214,0.000174943,658857,658194
604040,445.707,911.214,0.000174943,658857,658194
604040,448.99,911.214,0.000174943,658857,658194
604040,452.273,911.214,0.000174943,658857,658194
604040,455.556,911.214,0.000174943,658857,658194
604040,458.838,911.214,0.000174943,658857,658194
604040,462.121,911.214,0.000174943,658857,658194
604040,465.404,911.214,0.000174943,658857,658194
604040,468.687,911.214,0.000174943,658857,658194
604040,471.97,911.214,0.000174943,658857,658194
604040,475.253,911.214,0.000174943,658857,658194
604040,478.535,911.214,0.000174943,658857,658194
604040,481.818,911.214,0.000174943,658857,658194
604040,485.101,911.214,0.000174943,658857,658194
604040,488.384,911.214,0.000174943,658857,658194
604040,491.667,911.214,0.000174943,658857,658194
604040,494.949,911.214,0.000174943,658857,658194
604040,498.232,911.214,0.000174943,658857,658194
