pressure, temperature,viscosity,density, enthalpy, internal_energy
1612120,358.333,0.000317329,987.71946,357934.0395,356270.6622
1612120,361.111,0.000313819,987.16386,369596.6356,367930.1307
1612120,363.889,0.000310559,986.60826,381266.9896,379597.2813
1612120,366.667,0.000307524,986.05266,392945.5431,391272.5555
1612120,369.444,0.000304692,985.49726,404628.5324,402952.1909
1612120,372.222,0.000302042,984.94166,416324.8207,414645.0479
1612120,375,0.000299557,984.38606,428030.6564,426347.3764
1612120,377.778,0.000297224,983.83046,439746.4997,438059.6359
1612120,380.556,0.000295028,983.27486,451472.8172,449782.293
1612120,383.333,0.000292958,982.71946,463205.8566,461511.5961
1612120,386.111,0.000291003,982.16386,474954.5512,473256.4753
1612120,388.889,0.000289154,981.60826,486715.171,485013.2014
1612120,391.667,0.000287402,981.05266,498488.2202,496782.278
1612120,394.444,0.000285742,980.49726,510269.97,508559.9768
1612120,397.222,0.000284164,979.94166,522069.4345,520355.3084
1612120,400,0.000282663,979.38606,533882.9173,532164.5766
1612120,402.778,0.000281234,978.83046,545710.9773,543988.3397
1612120,405.556,0.000279872,978.27486,557554.1906,555827.1723
1612120,408.333,0.000278572,977.71946,569408.8793,567677.3972
1612120,411.111,0.00027733,977.16386,581284.1944,579548.1607
1612120,413.889,0.000276142,976.60826,593176.5039,591435.8311
1612120,416.667,0.000275005,976.05266,605086.464,603341.0632
1612120,419.444,0.000273916,975.49726,617010.4573,615260.2397
1612120,422.222,0.000272871,974.94166,628957.7761,627202.6478
1612120,425,0.000271869,974.38606,640924.8615,639164.7285
1612120,427.778,0.000270905,973.83046,652912.4734,651147.2397
1612120,430.556,0.000269979,973.27486,664921.4017,663150.9693
1612120,433.333,0.000269089,972.71946,676948.133,675172.4038
1612120,436.111,0.000268231,972.16386,689002.1841,687221.0539
1612120,438.889,0.000267405,971.60826,701080.1193,699293.4834
1612120,441.667,0.000266608,971.05266,713182.8675,711390.6185
1612120,444.444,0.00026584,970.49726,725307.0269,723509.0567
1612120,447.222,0.000265098,969.94166,737462.3401,735658.534
1612120,450,0.000264381,969.38606,749645.5022,747835.7442
1612120,452.778,0.000263688,968.83046,761857.617,760041.788
1612120,455.556,0.000263018,968.27486,774099.8388,772277.8162
1612120,458.333,0.00026237,967.71946,786368.9516,784540.6117
1612120,461.111,0.000261743,967.16386,798675.0564,796840.267
1612120,463.889,0.000261135,966.60826,811015.0663,809173.6934
1612120,466.667,0.000260546,966.05266,823390.3714,821542.2769
1612120,469.444,0.000259975,965.49726,835797.9561,833942.9996
1612120,472.222,0.000259422,964.94166,848248.2883,846386.3199
1612120,475,0.000258884,964.38606,2793418.111,2595327.968
1612120,477.778,0.000258362,963.83046,2801657.031,2601741.823
1612120,480.556,0.000257855,963.27486,2809671.265,2607964.679
1612120,483.333,0.000257363,962.71946,2817500.4,2614031.53
1612120,486.111,0.000256884,962.16386,2825181.138,2619973.905
1612120,488.889,0.000256419,961.60826,2832733.718,2625809.709
1612120,491.667,0.000255966,961.05266,2840175.571,2631554.065
1612120,494.444,0.000255525,960.49726,2847517.465,2637216.514
1612120,497.222,0.000255096,959.94166,2854775.185,2642810.148
1612120,500,0.000254678,959.38606,2861954.474,2648340.093
1612120,502.778,0.000254271,958.83046,2869062.204,2653812.185
1612120,505.556,0.000253874,958.27486,2876104.115,2659231.272
1612120,508.333,0.000253488,957.71946,2883082.592,2664599.537
1612120,511.111,0.000253111,957.16386,2890006.902,2669924.395
1612120,513.889,0.000252743,956.60826,2896878.261,2675207.019
1612120,516.667,0.000252384,956.05266,2903700.01,2680450.185
1612120,519.444,0.000252033,955.49726,2910472.741,2685654.529
1612120,522.222,0.000251691,954.94166,2917204.089,2690826.077
1612120,525,0.000251357,954.38606,2923894.143,2695965.043
1612120,527.778,0.00025103,953.83046,2930545.249,2701073.361
1612120,530.556,0.000250711,953.27486,2937159.591,2706152.827
1612120,533.333,0.0002504,952.71946,2943736.844,2711203.304
1612120,536.111,0.000250095,952.16386,2950283.652,2716229.998
1612120,538.889,0.000249797,951.60826,2956799.431,2721232.558
1612120,541.667,0.000249505,951.05266,2963285.865,2726212.365
1612120,544.444,0.00024922,950.49726,2969742.221,2731168.944
1612120,547.222,0.000248941,949.94166,2976174.645,2736107.093
1612120,550,0.000248668,949.38606,2982582.22,2741026.182
2116160,275,0.001,1004.63808,9892.511178,7778.355534
2116160,277.778,0.001,1004.08248,21561.22322,19447.09835
2116160,280.556,0.001,1003.52688,33213.21969,31098.87449
2116160,283.333,0.001,1002.97148,44847.87026,42733.07395
2116160,286.111,0.001,1002.41588,56476.29653,54360.83504
2116160,288.889,0.001,1001.86028,68096.4393,65980.11326
2116160,291.667,0.001,1001.30468,79709.97514,77592.59769
2116160,294.444,0.000912879,1000.74928,91314.06357,89195.45913
2116160,297.222,0.000775894,1000.19368,102918.1479,100798.1494
2116160,300,0.00068203,999.63808,114518.9501,112397.3991
2116160,302.778,0.000614194,999.08248,126117.2367,123993.9818
2116160,305.556,0.00056313,998.52688,137713.676,135588.5724
2116160,308.333,0.000523449,997.97148,149304.6919,147177.601
2116160,311.111,0.000491784,997.41588,160899.1793,158769.9659
2116160,313.889,0.000465984,996.86028,172493.4755,170362.0097
2116160,316.667,0.000444585,996.30468,184088.0668,181954.2227
2116160,319.444,0.000426575,995.74928,195679.2481,193542.904
2116160,322.222,0.000411209,995.19368,207275.8241,205136.8599
2116160,325,0.000397958,994.63808,218874.0697,216732.3689
2116160,327.778,0.00038642,994.08248,230474.4279,228329.8766
2116160,330.556,0.000376286,993.52688,242077.3379,239929.8243
2116160,333.333,0.000367321,992.97148,253679.0575,251528.473
2116160,336.111,0.00035933,992.41588,265288.3766,263134.6122
2116160,338.889,0.000352167,991.86028,276901.5507,274744.5001
2116160,341.667,0.000345711,991.30468,288519.0116,286358.5699
2116160,344.444,0.000339865,990.74928,300137.0057,297973.0704
2116160,347.222,0.000334543,990.19368,311764.3305,309596.7977
2116160,350,0.000329681,989.63808,323397.2336,321226.0014
2116160,352.778,0.000325222,989.08248,335036.1451,332861.1125
2116160,355.556,0.000321117,988.52688,346681.4958,344502.5625
2116160,358.333,0.000317329,987.97148,358329.5218,356146.5892
2116160,361.111,0.000313819,987.41588,369989.0451,367802.0121
2116160,363.889,0.000310559,986.86028,381656.3076,379465.0749
2116160,366.667,0.000307524,986.30468,393331.7474,391136.2157
2116160,369.444,0.000304692,985.74928,405011.5983,402811.6698
2116160,372.222,0.000302042,985.19368,416704.7174,414500.2912
2116160,375,0.000299557,984.63808,428407.3508,426198.3274
2116160,377.778,0.000297224,984.08248,440119.9551,437906.2343
2116160,380.556,0.000295028,983.52688,451842.9932,449624.4746
2116160,383.333,0.000292958,982.97148,463572.7101,461349.2944
2116160,386.111,0.000291003,982.41588,475318.0329,473089.6168
2116160,388.889,0.000289154,981.86028,487075.2291,484841.71
2116160,391.667,0.000287402,981.30468,498844.7987,496606.0734
2116160,394.444,0.000285742,980.74928,510623.01,508378.9762
2116160,397.222,0.000284164,980.19368,522418.8707,520169.4209
2116160,400,0.000282663,979.63808,534228.6809,531973.7086
2116160,402.778,0.000281234,979.08248,546052.9953,543792.3924
2116160,405.556,0.000279872,978.52688,557892.3851,555626.0424
2116160,408.333,0.000278572,977.97148,569743.1691,567470.9777
2116160,411.111,0.00027733,977.41588,581614.4903,579336.3355
2116160,413.889,0.000276142,976.86028,593502.7129,591218.4804
2116160,416.667,0.000275005,976.30468,605408.4875,603118.0611
2116160,419.444,0.000273916,975.74928,617328.1927,615031.4562
2116160,422.222,0.000272871,975.19368,629271.1116,626967.9422
2116160,425,0.000271869,974.63808,641233.6805,638923.9554
2116160,427.778,0.000270905,974.08248,653216.6525,650900.2463
2116160,430.556,0.000269979,973.52688,665220.8104,662897.5953
2116160,433.333,0.000269089,972.97148,677242.6356,674912.4833
2116160,436.111,0.000268231,972.41588,689291.6334,686954.4076
2116160,438.889,0.000267405,971.86028,701364.3615,699019.9254
2116160,441.667,0.000266608,971.30468,713461.74,711109.9536
